===== 59 =====
29,0,2,254
61,12,2,68
===== 60 =====
29,0,2,106
61,12,2,55
===== 61 =====
29,0,2,122
61,12,2,43
===== 62 =====
29,0,2,130
35,14,2,2
61,12,2,55
===== 63 =====
29,0,2,85
61,12,2,51
===== 64 =====
29,0,2,101
61,12,2,52
===== 65 =====
29,0,2,93
35,14,2,2
61,12,2,46
===== 66 =====
29,0,2,88
61,12,2,57
===== 67 =====
29,0,2,107
61,12,2,64
===== 68 =====
29,0,2,103
35,14,2,4
61,12,2,37
===== 69 =====
29,0,2,112
35,14,2,1
61,12,2,70
===== 70 =====
29,0,2,127
61,12,2,46
===== 71 =====
29,0,2,129
61,12,2,50
===== 72 =====
29,0,2,111
35,14,2,1
61,12,2,37
===== 73 =====
29,0,2,119
61,12,2,45
===== 74 =====
29,0,2,104
35,14,2,3
61,12,2,65
===== 75 =====
29,0,2,130
35,14,2,2
61,12,2,47
===== 76 =====
29,0,2,117
61,12,2,53
===== 77 =====
29,0,2,141
35,14,2,2
61,12,2,73
===== 78 =====
29,0,2,78
61,12,2,45
===== 79 =====
29,0,2,124
61,12,2,64
===== 80 =====
29,0,2,149
61,12,2,72
===== 81 =====
29,0,2,105
61,12,2,43
===== 82 =====
29,0,2,112
35,14,2,2
61,12,2,41
===== 83 =====
29,0,2,120
61,12,2,38
===== 84 =====
29,0,2,99
35,14,2,3
61,12,2,42
===== 85 =====
29,0,2,96
61,12,2,46
===== 86 =====
29,0,2,95
61,12,2,56
===== 87 =====
29,0,2,126
35,14,2,2
61,12,2,57
===== 88 =====
29,0,2,122
35,14,2,1
61,12,2,60
===== 89 =====
29,0,2,117
61,12,2,40
===== 90 =====
29,0,2,149
35,14,2,4
61,12,2,56
===== 91 =====
29,0,2,115
35,14,2,2
61,12,2,61
===== 92 =====
29,0,2,121
35,14,2,1
61,12,2,45
===== 93 =====
29,0,2,112
35,14,2,1
61,12,2,57
===== 94 =====
29,0,2,129
35,14,2,2
61,12,2,47
===== 95 =====
29,0,2,103
61,12,2,47
===== 96 =====
29,0,2,101
61,12,2,45
===== 97 =====
29,0,2,126
61,12,2,55
===== 98 =====
29,0,2,118
61,12,2,57
===== 99 =====
29,0,2,104
61,12,2,44
===== 100 =====
29,0,2,73
35,14,2,2
61,12,2,64
===== 101 =====
29,0,2,109
35,14,2,2
61,12,2,54
===== 102 =====
29,0,2,104
35,14,2,1
61,12,2,44
===== 103 =====
29,0,2,102
35,14,2,1
61,12,2,62
===== 104 =====
29,0,2,113
61,12,2,53
===== 105 =====
29,0,2,94
61,12,2,45
===== 106 =====
29,0,2,90
61,12,2,65
===== 107 =====
29,0,2,68
35,14,2,1
61,12,2,51
===== 108 =====
29,0,2,113
61,12,2,43
===== 109 =====
29,0,2,233
35,14,2,2
61,12,2,51
===== 110 =====
29,0,2,77
61,12,2,64
===== 111 =====
29,0,2,134
35,14,2,2
61,12,2,79
===== 112 =====
29,0,2,227
35,14,2,1
61,12,2,58
===== 113 =====
29,0,2,131
61,12,2,55
===== 114 =====
29,0,2,119
61,12,2,57
===== 115 =====
29,0,2,85
35,14,2,1
61,12,2,75
===== 116 =====
29,0,2,99
61,12,2,55
===== 117 =====
29,0,2,109
61,12,2,51
===== 118 =====
29,0,2,98
61,12,2,44
===== 119 =====
29,0,2,125
35,14,2,1
61,12,2,52
===== 120 =====
29,0,2,132
61,12,2,56
===== 121 =====
29,0,2,130
35,14,2,2
61,12,2,50
===== 122 =====
29,0,2,254
35,14,2,2
61,12,2,69
===== 123 =====
29,0,2,135
35,14,2,1
61,12,2,53
===== 124 =====
29,0,2,129
61,12,2,78
===== 125 =====
29,0,2,134
61,12,2,65
===== 126 =====
29,0,2,133
61,12,2,73
===== 127 =====
29,0,2,132
61,12,2,43
===== 128 =====
29,0,2,138
35,14,2,3
61,12,2,48
===== 129 =====
29,0,2,137
61,12,2,54
===== 130 =====
29,0,2,124
61,12,2,66
===== 131 =====
29,0,2,126
35,14,2,1
61,12,2,64
===== 132 =====
29,0,2,125
35,14,2,1
61,12,2,49
===== 133 =====
29,0,2,82
35,14,2,2
61,12,2,57
===== 134 =====
29,0,2,126
35,14,2,2
61,12,2,54
===== 135 =====
29,0,2,114
35,14,2,2
61,12,2,60
===== 136 =====
29,0,2,138
61,12,2,46
===== 137 =====
29,0,2,153
35,14,2,1
61,12,2,73
===== 138 =====
29,0,2,154
61,12,2,47
===== 139 =====
29,0,2,145
35,14,2,1
61,12,2,55
===== 140 =====
29,0,2,131
35,14,2,1
61,12,2,73
===== 141 =====
29,0,2,142
61,12,2,53
===== 142 =====
29,0,2,129
61,12,2,65
===== 143 =====
29,0,2,96
61,12,2,37
===== 144 =====
29,0,2,137
61,12,2,41
===== 145 =====
29,0,2,156
35,14,2,1
61,12,2,76
===== 146 =====
61,12,2,50
===== 147 =====
1,14,2,1
29,0,2,142
61,12,2,72
===== 148 =====
29,0,2,119
35,14,2,1
61,12,2,50
===== 149 =====
29,0,2,140
61,12,2,40
===== 150 =====
29,0,2,111
61,12,2,72
===== 151 =====
29,0,2,127
35,14,2,1
61,12,2,46
===== 152 =====
29,0,2,85
35,14,2,2
61,12,2,48
===== 153 =====
29,0,2,111
61,12,2,60
===== 154 =====
29,0,2,123
61,12,2,44
===== 155 =====
29,0,2,126
61,12,2,57
===== 156 =====
29,0,2,112
61,12,2,60
===== 157 =====
29,0,2,149
61,12,2,51
===== 158 =====
29,0,2,97
35,14,2,2
61,12,2,48
===== 159 =====
29,0,2,118
35,14,2,2
61,12,2,64
===== 160 =====
29,0,2,254
35,14,2,1
61,12,2,43
===== 161 =====
29,0,2,111
61,12,2,36
===== 162 =====
29,0,2,106
35,14,2,1
61,12,2,51
===== 163 =====
1,14,2,1
29,0,2,54
35,14,2,1
61,12,2,41
===== 164 =====
29,0,2,78
35,14,2,1
61,12,2,38
===== 165 =====
29,0,2,94
35,14,2,2
61,12,2,45
===== 166 =====
29,0,2,214
61,12,2,66
===== 167 =====
29,0,2,107
61,12,2,71
===== 168 =====
