12,2,2,1
15,4,2,1
15,15,2,7
17,12,2,2
17,13,2,1
18,11,2,3
19,10,2,1
20,5,2,1
21,5,2,1
22,0,2,22
23,4,2,2
23,7,2,1
23,11,2,4
24,1,2,2
24,8,2,1
24,11,2,1
24,12,2,1
28,11,2,254
31,4,2,13
34,7,2,1
35,2,2,4
35,4,2,1
35,8,2,2
35,10,2,1
37,14,2,9
38,13,2,1
39,5,2,1
41,12,2,1
42,0,2,3
44,2,2,1
44,5,2,1
46,12,2,1
47,5,2,1
49,11,2,1
50,6,2,1
51,10,2,1
52,1,2,1
56,6,2,1
60,12,2,45
62,13,2,6
===== 6 =====
0,10,2,3
1,13,2,1
3,9,2,2
5,4,2,1
13,3,2,2
14,0,2,2
15,4,2,1
15,15,2,6
17,12,2,1
17,13,2,1
18,11,2,3
22,0,2,17
23,4,2,1
23,7,2,2
24,8,2,1
24,14,2,1
27,6,2,1
30,7,2,1
31,4,2,13
35,8,2,2
36,6,2,2
37,13,2,3
37,14,2,11
38,13,2,1
40,3,2,1
44,2,2,1
44,5,2,2
44,10,2,1
46,5,2,1
50,6,2,1
51,10,2,1
52,1,2,3
57,10,2,1
59,12,2,2
60,12,2,60
62,2,2,1
62,13,2,7
===== 7 =====
3,0,2,2
5,4,2,1
6,0,2,1
8,6,2,1
8,11,2,1
10,1,2,1
11,13,2,1
14,0,2,1
14,1,2,1
14,7,2,2
15,3,2,1
15,4,2,1
15,15,2,7
16,11,2,1
17,9,2,1
17,12,2,2
18,11,2,4
22,0,2,18
22,1,2,1
22,2,2,3
23,4,2,1
24,8,2,1
24,9,2,1
25,14,2,1
27,7,2,1
28,0,2,1
28,11,2,254
29,6,2,1
30,2,2,1
30,3,2,3
31,1,2,1
31,4,2,17
33,2,2,1
34,0,2,3
35,8,2,3
35,15,2,2
36,6,2,1
37,14,2,14
38,13,2,1
39,2,2,2
46,5,2,1
49,13,2,1
50,6,2,1
51,10,2,1
52,13,2,2
53,13,2,1
60,12,2,45
62,8,2,1
62,12,2,7
62,13,2,4
62,14,2,2
===== 8 =====
0,4,2,2
0,10,2,2
0,14,2,1
2,2,2,1
5,14,2,2
6,0,2,1
7,6,2,3
10,2,2,6
10,13,2,2
14,9,2,2
15,4,2,1
15,15,2,1
16,1,2,1
16,11,2,1
18,11,2,2
21,3,2,1
22,0,2,20
22,1,2,2
23,4,2,2
23,7,2,1
25,14,2,1
27,4,2,1
27,6,2,1
28,11,2,254
29,5,2,1
29,6,2,1
30,4,2,5
31,4,2,14
31,9,2,3
34,7,2,1
35,8,2,3
35,15,2,3
36,1,2,2
36,6,2,1
36,7,2,5
36,15,2,2
37,6,2,1
37,13,2,1
37,14,2,15
38,11,2,3
38,13,2,1
40,14,2,1
41,9,2,1
43,8,2,3
44,10,2,1
47,3,2,2
47,15,2,1
49,5,2,2
49,11,2,1
51,10,2,2
52,1,2,2
53,6,2,5
56,1,2,2
56,6,2,1
56,12,2,1
57,14,2,1
60,12,2,60
61,1,2,1
61,14,2,1
62,13,2,7
===== 9 =====
0,10,2,1
6,0,2,1
7,6,2,1
11,13,2,1
14,0,2,1
14,1,2,5
15,4,2,1
15,15,2,4
17,11,2,2
17,12,2,1
