# pearycli > acquire
# Software version: peary v0.11.0+607^g2933fc7b
# Firmware version: Firmware version: 0x00000000 (0/0/2000 0:0:0)
# Register state: 
# H2M: acq_mode:2, acq_start:0, analog_out_ctrl:0, bgr_iref_trim:3, bgr_res_0:2, bgr_res_1:1, bgr_res_2:1, conf:0, dac_ibias:37, dac_ikrum:10, dac_itrim:35, dac_vref:100, dac_vthr:141, dac_vtpulse:0, digital_out_ctrl:1, enable_bridge:255, latency:0, link_shutter_tp:0, matrix_ctrl:0, px_cnt_r_0:0, px_cnt_r_1:0, px_cnt_r_10:0, px_cnt_r_11:0, px_cnt_r_12:0, px_cnt_r_13:0, px_cnt_r_14:0, px_cnt_r_15:0, px_cnt_r_16:0, px_cnt_r_17:0, px_cnt_r_18:0, px_cnt_r_19:0, px_cnt_r_2:0, px_cnt_r_20:0, px_cnt_r_21:0, px_cnt_r_22:0, px_cnt_r_23:0, px_cnt_r_24:0, px_cnt_r_25:0, px_cnt_r_26:0, px_cnt_r_27:0, px_cnt_r_28:0, px_cnt_r_29:0, px_cnt_r_3:0, px_cnt_r_30:0, px_cnt_r_31:0, px_cnt_r_32:0, px_cnt_r_33:0, px_cnt_r_34:0, px_cnt_r_35:0, px_cnt_r_36:0, px_cnt_r_37:0, px_cnt_r_38:0, px_cnt_r_39:0, px_cnt_r_4:0, px_cnt_r_40:0, px_cnt_r_41:0, px_cnt_r_42:0, px_cnt_r_43:0, px_cnt_r_44:0, px_cnt_r_45:0, px_cnt_r_46:0, px_cnt_r_47:0, px_cnt_r_48:0, px_cnt_r_49:0, px_cnt_r_5:0, px_cnt_r_50:0, px_cnt_r_51:0, px_cnt_r_52:0, px_cnt_r_53:0, px_cnt_r_54:0, px_cnt_r_55:0, px_cnt_r_56:0, px_cnt_r_57:0, px_cnt_r_58:0, px_cnt_r_59:0, px_cnt_r_6:0, px_cnt_r_60:0, px_cnt_r_61:0, px_cnt_r_62:0, px_cnt_r_63:0, px_cnt_r_7:0, px_cnt_r_8:0, px_cnt_r_9:0, shutter_select:0, shutter_tp_lat:16, tp_num:0, tp_off:0, tp_on:0, tp_polarity:1, tp_sel_digital:0, 
# Timestamp: 00:48:39.376
===== 0 =====
8,11,2,2
11,13,2,1
23,6,2,3
31,11,2,3
41,15,2,3
43,8,2,2
45,5,2,2
52,2,2,1
55,9,2,2
59,9,2,2
61,15,2,1
63,10,2,1
===== 1 =====
7,11,2,1
17,1,2,3
22,8,2,1
29,2,2,1
38,11,2,2
51,11,2,1
53,1,2,1
56,7,2,1
59,6,2,1
61,2,2,1
===== 2 =====
3,5,2,1
29,14,2,2
31,15,2,2
33,11,2,2
46,4,2,3
51,12,2,1
59,7,2,2
61,10,2,1
===== 3 =====
2,9,2,1
28,13,2,2
29,2,2,2
34,9,2,2
36,6,2,1
37,8,2,3
41,13,2,1
43,9,2,3
50,11,2,2
51,1,2,2
54,5,2,3
55,9,2,1
57,8,2,1
59,15,2,3
===== 4 =====
1,14,2,1
4,0,2,1
4,8,2,1
7,11,2,1
13,7,2,2
14,11,2,2
15,2,2,3
15,7,2,2
15,8,2,2
19,12,2,1
20,14,2,1
21,15,2,4
24,4,2,2
28,7,2,5
43,5,2,3
===== 5 =====
11,13,2,1
44,5,2,2
46,2,2,3
===== 6 =====
7,3,2,2
8,9,2,1
14,4,2,1
24,2,2,2
52,11,2,1
54,5,2,1
55,5,2,2
===== 7 =====
2,3,2,1
6,12,2,1
12,4,2,1
28,13,2,1
50,0,2,3
50,8,2,1
57,0,2,2
===== 8 =====
9,3,2,1
16,4,2,3
19,14,2,3
30,1,2,2
51,8,2,2
53,15,2,1
55,14,2,3
===== 9 =====
3,11,2,2
7,5,2,1
15,11,2,2
20,0,2,1
22,5,2,3
31,3,2,4
31,5,2,2
31,15,2,1
47,0,2,1
47,9,2,2
58,5,2,1
===== 10 =====
1,7,2,1
4,15,2,3
9,3,2,1
17,1,2,1
32,5,2,2
45,13,2,2
46,5,2,1
46,14,2,2
54,4,2,2
63,13,2,1
===== 11 =====
8,5,2,1
11,14,2,3
43,3,2,4
46,12,2,2
55,7,2,2
===== 12 =====
7,8,2,1
23,3,2,2
29,14,2,2
38,2,2,2
38,11,2,1
44,5,2,2
47,3,2,2
49,8,2,2
50,10,2,1
56,13,2,2
57,14,2,2
59,12,2,1
===== 13 =====
0,3,2,1
6,7,2,1
7,11,2,1
13,11,2,3
20,5,2,2
